year,lat,lon,annual_electricity_savings_€
2021,40.5,22.0,837.69
2022,40.5,22.0,847.83
2023,40.5,22.0,797.23
2024,40.5,22.0,837.85
2025,40.5,22.0,808.61
2026,40.5,22.0,795.67
2027,40.5,22.0,875.36
2028,40.5,22.0,860.31
2029,40.5,22.0,872.68
2030,40.5,22.0,848.24
2031,40.5,22.0,833.68
2032,40.5,22.0,822.9
2033,40.5,22.0,835.3
2034,40.5,22.0,804.01
2035,40.5,22.0,827.37
2036,40.5,22.0,856.84
2037,40.5,22.0,842.95
2038,40.5,22.0,879.5
2039,40.5,22.0,828.76
2040,40.5,22.0,836.72
2041,40.5,22.0,790.4
2042,40.5,22.0,870.23
2043,40.5,22.0,859.23
2044,40.5,22.0,863.99
2045,40.5,22.0,817.23
2046,40.5,22.0,850.89
2047,40.5,22.0,836.01
2048,40.5,22.0,822.29
2049,40.5,22.0,865.97
2050,40.5,22.0,874.05
2051,40.5,22.0,823.25
2052,40.5,22.0,873.23
2053,40.5,22.0,847.19
2054,40.5,22.0,867.06
2055,40.5,22.0,798.24
2056,40.5,22.0,852.91
2057,40.5,22.0,841.98
2058,40.5,22.0,877.38
2059,40.5,22.0,838.85
2060,40.5,22.0,851.0
2061,40.5,22.0,880.18
2062,40.5,22.0,821.83
2063,40.5,22.0,854.36
2064,40.5,22.0,874.78
2065,40.5,22.0,856.79
2066,40.5,22.0,839.83
2067,40.5,22.0,868.33
2068,40.5,22.0,836.88
2069,40.5,22.0,832.7
2070,40.5,22.0,850.25
2071,40.5,22.0,835.12
2072,40.5,22.0,830.26
2073,40.5,22.0,856.66
2074,40.5,22.0,845.98
2075,40.5,22.0,836.61
2076,40.5,22.0,874.71
2077,40.5,22.0,907.34
2078,40.5,22.0,833.15
2079,40.5,22.0,885.84
2080,40.5,22.0,887.22
2081,40.5,22.0,869.75
2082,40.5,22.0,865.67
2083,40.5,22.0,859.19
2084,40.5,22.0,856.49
2085,40.5,22.0,796.32
2086,40.5,22.0,835.93
2087,40.5,22.0,850.11
2088,40.5,22.0,809.18
2089,40.5,22.0,884.64
2090,40.5,22.0,898.64
2091,40.5,22.0,817.59
2092,40.5,22.0,850.43
2093,40.5,22.0,884.76
2094,40.5,22.0,848.85
2095,40.5,22.0,822.5
2096,40.5,22.0,802.83
2097,40.5,22.0,835.09
2098,40.5,22.0,894.16
2099,40.5,22.0,848.76
2100,40.5,22.0,863.56
2021,40.5,22.1,904.11
2022,40.5,22.1,932.79
2023,40.5,22.1,872.29
2024,40.5,22.1,885.95
2025,40.5,22.1,871.18
2026,40.5,22.1,866.21
2027,40.5,22.1,925.52
2028,40.5,22.1,913.53
2029,40.5,22.1,920.03
2030,40.5,22.1,915.42
